object_name    obs_date             freq  file_name                             comment
J1845+6511     2020-12-13     7624000000  J1845+6511_X_2020_12_13_pet_map.fits  distance = 5.1
J1323-4452     2017-06-10     8652000000  J1323-4452_X_2017_06_10_pet_map.fits  distance = 37.5
J1323-4452     2002-01-31     8645724375  J1323-4452_X_2002_01_31_yyk_map.fits  distance = 11.7
J1323-4452     2002-05-14     8645724375  J1323-4452_X_2002_05_14_yyk_map.fits  distance = 11.2
J1323-4452     2018-07-05     8652000000  J1323-4452_X_2018_07_05_pet_map.fits  distance = 5.0
J0458-3541     2022-11-18     7616000000  J0458-3541_X_2022_11_18_pet_map.fits  distance = 8.2
J0513+4006     2021-09-27     7616000000  J0513+4006_X_2021_09_27_pet_map.fits  distance = 5.4
J0850+2723     2013-04-22     7639968750  J0850+2723_X_2013_04_22_pet_map.fits  snr = 8.7
J1213-1938     2021-10-11     7616000000  J1213-1938_X_2021_10_11_pet_map.fits  distance = 7.1
J0902-1415     2013-05-18     7624000000  J0902-1415_X_2013_05_18_pet_map.fits  distance = 4.5
J0438-1611     2020-09-24     7624000000  J0438-1611_X_2020_09_24_pet_map.fits  distance = 128.0
J1111+1955     2017-01-16     8652000000  J1111+1955_X_2017_01_16_pet_map.fits  distance = 6.3
J0742-2823     2016-05-07     7624000000  J0742-2823_X_2016_05_07_pet_map.fits  distance = 5.0
J1342-2900     2010-10-13     8646208750  J1342-2900_X_2010_10_13_pus_map.fits  distance = 7.1
J0147-2043     2015-12-30     7624000000  J0147-2043_X_2015_12_30_pet_map.fits  distance = 5.1
J0523+1131     2020-10-02     7624000000  J0523+1131_X_2020_10_02_pet_map.fits  distance = 4.5
J0001-1741     2016-05-15     7624000000  J0001-1741_X_2016_05_15_pet_map.fits  distance = 7.0
J1542-0927     2018-05-19     8652000000  J1542-0927_X_2018_05_19_pet_map.fits  distance = 213.7
J1542-0927     2015-10-16(2)  7624000000  J1542-0927_X_2015_10_16_pet_map.fits  distance = 8.0
J0424+1546     2021-01-31     7624000000  J0424+1546_X_2021_01_31_pet_map.fits  distance = 18.4
J2349+7517     1995-04-19     8336896250  J2349+7517_X_1995_04_19_yyk_map.fits  distance = 150.9
J0132-0652     2015-08-18(2)  7624000000  J0132-0652_X_2015_08_18_pet_map.fits  distance = 749.0
J0524-3126     2017-10-09     8667875000  J0524-3126_X_2017_10_09_pus_map.fits  distance = 11.7
J0252-3357     2019-07-24     7624000000  J0252-3357_X_2019_07_24_pet_map.fits  distance = 5.0
J0320-3837     2002-05-14     8645724375  J0320-3837_X_2002_05_14_yyk_map.fits  distance = 6.4
J1837-3319     2010-03-11     8349937500  J1837-3319_X_2010_03_11_dew_map.fits  distance = 8.1
J2110+2131     2020-09-11     7624000000  J2110+2131_X_2020_09_11_pet_map.fits  distance = 4.5
J1904+2113     2022-02-14     7616000000  J1904+2113_X_2022_02_14_pet_map.fits  distance = 4.1
J0950-4650     2012-03-17(2)  8354990000  J0950-4650_X_2012_03_17_pet_map.fits  distance = 9.2
J2345-1555     2018-09-19     7624000000  J2345-1555_X_2018_09_19_pet_map.fits  distance = 4.0
J1253+0859     2022-07-09     7616000000  J1253+0859_X_2022_07_09_pet_map.fits  distance = 5.4
