object_name    obs_date             freq  file_name                             comment
J1451+1343     1996-03-13     2266896250  J1451+1343_S_1996_03_13_yyk_map.fits  distance = 53.2
J1619+8549     2020-03-02     2284000000  J1619+8549_S_2020_03_02_pet_map.fits  distance = 6.0
J0320-1702     2017-10-21     2291875000  J0320-1702_S_2017_10_21_pus_map.fits  distance = 4.5
J1542-0927     1997-05-07     2269474375  J1542-0927_S_1997_05_07_yyk_map.fits  distance = 18.0
J1542-0927     2018-12-29     2252000000  J1542-0927_S_2018_12_29_pet_map.fits  distance = 274.4
J1542-0927     2018-05-19     2252000000  J1542-0927_S_2018_05_19_pet_map.fits  distance = 15.0
J1542-0927     2015-01-23     2276000000  J1542-0927_S_2015_01_23_pet_map.fits  distance = 4.1
J2206-1835     2015-01-23     2291875000  J2206-1835_S_2015_01_23_pus_map.fits  distance = 11.0
J2206-1835     1997-07-02     2269474375  J2206-1835_S_1997_07_02_yyk_map.fits  distance = 6.7
J2206-1835     2017-01-16     2291875000  J2206-1835_S_2017_01_16_pus_map.fits  distance = 9.8
J2206-1835     2007-03-27     2305490000  J2206-1835_S_2007_03_27_pet_map.fits  distance = 5.4
J2206-1835     1997-08-27     2269474375  J2206-1835_S_1997_08_27_yyk_map.fits  distance = 82.0
J2138-1810     2016-07-06     2305250000  J2138-1810_S_2016_07_06_pet_map.fits  distance = 4.0
J2138-1810     2017-08-12     2291875000  J2138-1810_S_2017_08_12_pus_map.fits  distance = 9.2
J2138-1810     2013-07-24     2305490000  J2138-1810_S_2013_07_24_pet_map.fits  distance = 5.0
J2138-1810     2015-03-17     2291875000  J2138-1810_S_2015_03_17_pus_map.fits  distance = 4.0
J2138-1810     1997-07-02     2269474375  J2138-1810_S_1997_07_02_yyk_map.fits  distance = 5.8
J2138-1810     2015-03-17     2276000000  J2138-1810_S_2015_03_17_xua_map.fits  distance = 7.1
J1112-2218     2022-01-19     2277750000  J1112-2218_S_2022_01_19_pet_map.fits  distance = 179.5
J1219+6344     1995-04-19     2266896250  J1219+6344_S_1995_04_19_yyk_map.fits  snr = 7.8
J0155-4048     2017-01-16     2291875000  J0155-4048_S_2017_01_16_pus_map.fits  distance = 4.0
J0701-4634     2012-08-22     2305490000  J0701-4634_S_2012_08_22_pet_map.fits  distance = 7.6
J1812-064A     2018-09-02     2276000000  J1812-064A_S_2018_09_02_pet_map.fits  distance = 4.1
J0232+7825     2020-03-02     2284000000  J0232+7825_S_2020_03_02_pet_map.fits  distance = 40.3
J0641+0947     2017-09-26     2252000000  J0641+0947_S_2017_09_26_pet_map.fits  snr = 7.3
J0641+0947     2017-01-21(2)  2252000000  J0641+0947_S_2017_01_21_pet_map.fits  distance = 5.7
J2315-1800     2018-01-18     2252000000  J2315-1800_S_2018_01_18_pet_map.fits  distance = 4.5
J1856+0610     2002-05-14     2301974375  J1856+0610_S_2002_05_14_yyk_map.fits  distance = 80.0
J0658-3642     2005-06-01     2309474375  J0658-3642_S_2005_06_01_yyk_map.fits  distance = 4.0
J0658-3642     2017-10-09     2291875000  J0658-3642_S_2017_10_09_pus_map.fits  distance = 5.8
J0658-3642     2017-10-09     2252000000  J0658-3642_S_2017_10_09_pet_map.fits  distance = 4.5
J0808+4950     2017-03-27     2291875000  J0808+4950_S_2017_03_27_pus_map.fits  distance = 202.9
J0256+1334     2017-08-05     2252000000  J0256+1334_S_2017_08_05_pet_map.fits  distance = 4.0
J1714-2514     2002-05-14     2301974375  J1714-2514_S_2002_05_14_yyk_map.fits  distance = 45.3
J1714-2514     1997-07-02     2269474375  J1714-2514_S_1997_07_02_yyk_map.fits  distance = 17.0
J1714-2514     2017-01-31     2305250000  J1714-2514_S_2017_01_31_pet_map.fits  distance = 5.0
J1159-0940     2017-07-17     2305250000  J1159-0940_S_2017_07_17_pet_map.fits  distance = 4.0
J0915-3029     2013-12-11     2305490000  J0915-3029_S_2013_12_11_pet_map.fits  distance = 4.0
J0915-3029     2002-01-31     2301974375  J0915-3029_S_2002_01_31_yyk_map.fits  distance = 150.7
J2314-4455     2002-01-31     2301974375  J2314-4455_S_2002_01_31_yyk_map.fits  distance = 113.9
J2038+5119     2006-09-13     2309474375  J2038+5119_S_2006_09_13_ojh_map.fits  distance = 16.4
J1159-2150     2022-10-23(2)  2284000000  J1159-2150_S_2022_10_23_pet_map.fits  distance = 345.5
J1159-2150     2018-09-24     2252000000  J1159-2150_S_2018_09_24_pet_map.fits  distance = 5.4
J2009-4849     2008-04-02     2309474375  J2009-4849_S_2008_04_02_pus_map.fits  distance = 6.0
J0802-3810     2017-04-28(2)  2252000000  J0802-3810_S_2017_04_28_pet_map.fits  distance = 6.3
J0948+0022     1995-07-15     2266896250  J0948+0022_S_1995_07_15_yyk_map.fits  distance = 137.5
J1636-4102     2017-07-16     2252000000  J1636-4102_S_2017_07_16_pet_map.fits  distance = 268.2
J1628+5146     2018-07-05     2252000000  J1628+5146_S_2018_07_05_pet_map.fits  distance = 252.4
J1323-4101     2019-01-21     2252000000  J1323-4101_S_2019_01_21_pet_map.fits  distance = 4.0
J1323-4101     2018-07-05     2252000000  J1323-4101_S_2018_07_05_pet_map.fits  distance = 5.0
J1006+1713     1996-03-13     2266896250  J1006+1713_S_1996_03_13_yyk_map.fits  distance = 5.1
J2015+4628     1996-08-10     2268302500  J2015+4628_S_1996_08_10_yyk_map.fits  distance = 176.8
J1632-0033     2017-05-27     2252000000  J1632-0033_S_2017_05_27_pet_map.fits  distance = 1279.8
J0503+3403     2017-02-24     2252000000  J0503+3403_S_2017_02_24_pet_map.fits  distance = 56.9
J0503+3403     2017-02-24     2291875000  J0503+3403_S_2017_02_24_pus_map.fits  distance = 56.2
J1842+7946     2006-02-16     2305490000  J1842+7946_S_2006_02_16_pet_map.fits  distance = 4.1
J2056-4714     2021-09-08     2277750000  J2056-4714_S_2021_09_08_pet_map.fits  distance = 8.0
J2056-4714     2016-11-30     2305250000  J2056-4714_S_2016_11_30_pet_map.fits  distance = 4.1
J1825-1718     2002-01-31     2301974375  J1825-1718_S_2002_01_31_yyk_map.fits  distance = 7.1
J1203+4632     2007-08-01     2309474375  J1203+4632_S_2007_08_01_ojh_map.fits  distance = 5.0
J1130+3815     1994-08-12     2266896250  J1130+3815_S_1994_08_12_yyk_map.fits  distance = 25.1
J0727-3813     2017-09-26     2252000000  J0727-3813_S_2017_09_26_pet_map.fits  distance = 4.1
J1300-3253     2002-01-31     2301974375  J1300-3253_S_2002_01_31_yyk_map.fits  distance = 153.2
J1300-3253     2002-05-14     2301974375  J1300-3253_S_2002_05_14_yyk_map.fits  distance = 17.5
J0943+1702     1996-03-13     2266896250  J0943+1702_S_1996_03_13_yyk_map.fits  distance = 11.7
J0000+030B     2018-12-20     2252000000  J0000+030B_S_2018_12_20_pet_map.fits  distance = 211.0
J0458+7615     2006-02-16     2305490000  J0458+7615_S_2006_02_16_pet_map.fits  distance = 218.7
J0958-3612     2005-06-01     2309474375  J0958-3612_S_2005_06_01_yyk_map.fits  distance = 5.0
J2203+3145     1996-03-13     2266896250  J2203+3145_S_1996_03_13_yyk_map.fits  distance = 104.8
J2031-2615     2017-03-23     2252000000  J2031-2615_S_2017_03_23_pet_map.fits  distance = 200.0
J1157+8118     2017-06-10     2291875000  J1157+8118_S_2017_06_10_kor_map.fits  distance = 15.3
J1625-2527     2018-07-31     2252000000  J1625-2527_S_2018_07_31_pet_map.fits  distance = 4.0
J1031-2228     2017-08-05     2252000000  J1031-2228_S_2017_08_05_pet_map.fits  distance = 15.5
J1252+5634     2002-01-31     2301974375  J1252+5634_S_2002_01_31_yyk_map.fits  distance = 10.6
J2316-4337     2002-01-31     2301974375  J2316-4337_S_2002_01_31_yyk_map.fits  snr = 5.1
J2316-4337     2015-01-23     2276000000  J2316-4337_S_2015_01_23_pet_map.fits  distance = 7.0
J1648+2141     2014-06-25     2305250000  J1648+2141_S_2014_06_25_pet_map.fits  distance = 76.4
J2235-4835     2007-03-27     2305490000  J2235-4835_S_2007_03_27_pet_map.fits  distance = 6.1
J0010+2047     1996-01-02     2266896250  J0010+2047_S_1996_01_02_yyk_map.fits  distance = 130.4
J0557+1800     2019-01-21     2252000000  J0557+1800_S_2019_01_21_pet_map.fits  distance = 7.1
J2325-4051     2017-01-21     2291875000  J2325-4051_S_2017_01_21_pus_map.fits  distance = 357.8
J1901-1416     2019-01-21     2252000000  J1901-1416_S_2019_01_21_pet_map.fits  distance = 302.1
J1308-0950     2018-12-10(2)  2276000000  J1308-0950_S_2018_12_10_pet_map.fits  distance = 4.1
J2222-3345     2018-12-29     2252000000  J2222-3345_S_2018_12_29_pet_map.fits  distance = 7.2
J0106-4034     1994-08-12     2266896250  J0106-4034_S_1994_08_12_yyk_map.fits  distance = 11.2
J0106-4034     1999-06-21     2292474375  J0106-4034_S_1999_06_21_nic_map.fits  distance = 4.1
J1539+7814     2020-03-16     2284000000  J1539+7814_S_2020_03_16_pet_map.fits  distance = 4.1
J1414+7905     2020-03-08     2284000000  J1414+7905_S_2020_03_08_pet_map.fits  distance = 7.3
J2126-4605     2022-02-16     2277750000  J2126-4605_S_2022_02_16_pet_map.fits  distance = 6.3
J2126-4605     2021-03-24     2277750000  J2126-4605_S_2021_03_24_pet_map.fits  distance = 5.4
J0109-3854     2018-12-20     2252000000  J0109-3854_S_2018_12_20_pet_map.fits  distance = 67.1
J0534+1927     2018-12-20     2252000000  J0534+1927_S_2018_12_20_pet_map.fits  distance = 5.7
J0534+1927     2017-09-26     2252000000  J0534+1927_S_2017_09_26_pet_map.fits  distance = 4.1
J2146+5703     2017-09-26     2252000000  J2146+5703_S_2017_09_26_pet_map.fits  distance = 280.5
J0304-4333     2017-10-09     2291875000  J0304-4333_S_2017_10_09_pus_map.fits  distance = 5.4
J1018-3144     2018-07-27(2)  2252000000  J1018-3144_S_2018_07_27_pet_map.fits  distance = 5.7
J1648+7546     2006-02-14     2305490000  J1648+7546_S_2006_02_14_pet_map.fits  distance = 5.0
J0508-1935     2018-01-25     2252000000  J0508-1935_S_2018_01_25_pet_map.fits  distance = 4.5
J1715+2145     2019-01-21     2252000000  J1715+2145_S_2019_01_21_pet_map.fits  distance = 5.7
J0920-3631     2014-05-31     2291875000  J0920-3631_S_2014_05_31_pus_map.fits  distance = 4.0
J0718+6651     1995-04-19     2266896250  J0718+6651_S_1995_04_19_yyk_map.fits  snr = 3.8
J1701-2954     2019-01-21     2252000000  J1701-2954_S_2019_01_21_pet_map.fits  distance = 5.1
J1701-2954     1997-08-27     2269474375  J1701-2954_S_1997_08_27_yyk_map.fits  distance = 8.2
J1148+5254     1994-08-12     2266896250  J1148+5254_S_1994_08_12_yyk_map.fits  distance = 130.5
